2026-08-11 11:00:03,734 | INFO     | root            | ======================================================================
2026-08-11 11:00:03,739 | INFO     | root            | Logger initialized.
2026-08-11 11:00:03,740 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:00:03,742 | INFO     | root            | ======================================================================
2026-08-11 11:00:03,743 | INFO     | root            | Application initialized.
2026-08-11 11:06:26,748 | INFO     | root            | ======================================================================
2026-08-11 11:06:26,749 | INFO     | root            | Logger initialized.
2026-08-11 11:06:26,749 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:06:26,750 | INFO     | root            | ======================================================================
2026-08-11 11:06:26,750 | INFO     | root            | Application initialized.
2026-08-11 11:06:27,720 | INFO     | root            | Server stopped
2026-08-11 11:06:50,055 | INFO     | root            | ======================================================================
2026-08-11 11:06:50,056 | INFO     | root            | Logger initialized.
2026-08-11 11:06:50,056 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:06:50,057 | INFO     | root            | ======================================================================
2026-08-11 11:06:50,058 | INFO     | root            | Application initialized.
2026-08-11 11:06:51,055 | INFO     | root            | Server stopped
2026-08-11 11:07:08,592 | INFO     | root            | ======================================================================
2026-08-11 11:07:08,593 | INFO     | root            | Logger initialized.
2026-08-11 11:07:08,593 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:07:08,593 | INFO     | root            | ======================================================================
2026-08-11 11:07:08,594 | INFO     | root            | Application initialized.
2026-08-11 11:07:09,407 | INFO     | root            | Server stopped
2026-08-11 11:07:54,434 | INFO     | root            | ======================================================================
2026-08-11 11:07:54,435 | INFO     | root            | Logger initialized.
2026-08-11 11:07:54,435 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:07:54,436 | INFO     | root            | ======================================================================
2026-08-11 11:07:54,436 | INFO     | root            | Application initialized.
2026-08-11 11:07:55,309 | INFO     | root            | Server stopped
2026-08-11 11:20:53,895 | INFO     | root            | ======================================================================
2026-08-11 11:20:53,896 | INFO     | root            | Logger initialized.
2026-08-11 11:20:53,897 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:20:53,900 | INFO     | root            | ======================================================================
2026-08-11 11:20:53,902 | INFO     | root            | Application initialized.
2026-08-11 11:20:54,841 | INFO     | root            | Server stopped
2026-08-11 11:22:44,713 | INFO     | root            | ======================================================================
2026-08-11 11:22:44,713 | INFO     | root            | Logger initialized.
2026-08-11 11:22:44,714 | INFO     | root            | Log file: /home/zmcmillan/projects/emsSolutions/EMS-OPG/logs/application.log
2026-08-11 11:22:44,714 | INFO     | root            | ======================================================================
2026-08-11 11:22:44,715 | INFO     | root            | Application initialized.
2026-08-11 11:22:45,774 | INFO     | werkzeug        | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-08-11 11:22:45,774 | INFO     | werkzeug        | [33mPress CTRL+C to quit[0m
2026-08-11 11:22:51,308 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "GET /index.html HTTP/1.1" 200 -
2026-08-11 11:22:51,432 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-08-11 11:22:51,509 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /css/main.css HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,519 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /css/layout.css HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,526 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /css/components.css HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,531 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /css/home.css HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,552 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /js/common.js HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,558 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /js/api.js HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,567 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /js/home.js HTTP/1.1[0m" 304 -
2026-08-11 11:22:51,985 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:51] "[36mGET /components/header.html HTTP/1.1[0m" 304 -
2026-08-11 11:22:52,033 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:52] "[36mGET /components/footer.html HTTP/1.1[0m" 304 -
2026-08-11 11:22:52,352 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:52] "[33mGET /api/v1/courses?per_page=2 HTTP/1.1[0m" 404 -
2026-08-11 11:22:52,563 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:52] "[33mGET /d2l/api/lp/1.0/enrollments/myenrollments/?orgUnitTypeId=3 HTTP/1.1[0m" 404 -
2026-08-11 11:22:52,645 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 11:22:52,649 | INFO     | sqlalchemy.engine.Engine | SELECT 1
2026-08-11 11:22:52,650 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00123s] ()
2026-08-11 11:22:52,653 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 11:22:52,666 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 11:22:52,672 | INFO     | sqlalchemy.engine.Engine | SELECT devices.id AS devices_id, devices.order_number AS devices_order_number, devices.serial_number AS devices_serial_number, devices.ethaddr_id AS devices_ethaddr_id, devices.eth1addr_id AS devices_eth1addr_id, devices.used AS devices_used, devices.test_result AS devices_test_result, devices.operator AS devices_operator, devices.timestamp AS devices_timestamp, devices.created_at AS devices_created_at, devices.updated_at AS devices_updated_at, devices.post_test_changes AS devices_post_test_changes 
FROM devices
2026-08-11 11:22:52,676 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00426s] ()
2026-08-11 11:22:52,685 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 11:22:52,687 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:52] "GET /api/status HTTP/1.1" 200 -
2026-08-11 11:22:52,878 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:22:52] "[33mGET /login/token.php HTTP/1.1[0m" 404 -
2026-08-11 11:23:53,431 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "GET /settings.html HTTP/1.1" 200 -
2026-08-11 11:23:53,629 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /css/main.css HTTP/1.1[0m" 304 -
2026-08-11 11:23:53,641 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /css/layout.css HTTP/1.1[0m" 304 -
2026-08-11 11:23:53,645 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /css/settings.css HTTP/1.1[0m" 304 -
2026-08-11 11:23:53,649 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /css/components.css HTTP/1.1[0m" 304 -
2026-08-11 11:23:53,658 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /js/common.js HTTP/1.1[0m" 304 -
2026-08-11 11:23:53,667 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 11:23:53] "[36mGET /js/api.js HTTP/1.1[0m" 304 -
